sinhala, IPA, ARPA
අ, ə, AH0
ං, ŋ, NG
  ඃ, h, HH
ක, k, K
ට, ʈ, T
ත, θ, TH
ප, p, P
ග, ɡ, G
ඩ, ɖ, D
ද, ð, DH
බ, b, B
ස, s, S
ච, t͡ʃ, CH
ම, m, M
ල, l, L
ව, v, V
ව, w, W
ණ, ɳ, N
හ, h, H
ජ, d͡ʒ, JH
න, n, N
ර, ɹ, R
ය, j, Y
ළ, ɭ, L
ඛ, kʰ, K 
ඨ, ʈʰ, T
ථ, θ, TH
ඵ, pʰ, P
ඝ, ɡʰ, G
ඪ, ɖʰ, D
ධ, ð, DH
භ, bʰ, B
ශ, ʃ, SH 
ඡ, t͡ʃʰ, CH
ඤ, ɲ, N Y
ඞ, ŋ, NG
ඞ, ŋ, NG
ඦ, ɲd͡ʒ, N Y JH
ෂ, ʃ, SH 
ඣ, d͡ʒʰ, JH
ඥ, jn, Y N
ෆ, f, F
ප, p, P
ඟ, ᵑɡ, NG
ඬ, ɳɖ, N D
ඳ, ⁿd, N D
ඳ, ⁿd, N D
ඹ, ᵐb, M B
ඟ, ᵑɡ, NG
ඬ, ɳɖ, N D
ඳ, ⁿd, N D
ඹ, ᵐb, M B
ඓ, aɪ, AY 
ඖ, aʊ, AW
ඍ, ɪɹu, IH R UW (I causes problems)
ඎ, ruː, R UW UW
ඏ, li IGNORE
ඐ,liː, IGNORE
ආ, aː, AA
ඇ, æ, AE
ඉ, i, IH
උ, u, UW
එ, e, EY
ඔ, o, OW
ඈ, æː, AE
ඊ, iː, IY
ඌ, uː, UW
ඒ, eː, EH
ඕ, oː, OW
